,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
0,college,64.86,-147.8,62.6,51.0,4.7,75.0,US,1567642516.0
1,ushuaia,-54.81,-68.31,41.0,65.0,18.34,40.0,AR,1567642376.0
2,ribeira grande,38.52,-28.7,71.79,81.0,15.01,100.0,PT,1567642517.0
3,sergeyevka,53.88,67.42,47.31,83.0,8.14,99.0,KZ,1567642517.0
4,albany,42.65,-73.75,71.6,88.0,8.05,75.0,US,1567642518.0
5,bredasdorp,-34.53,20.04,48.99,87.0,4.92,70.0,ZA,1567642518.0
6,atuona,-9.8,-139.03,79.17,73.0,11.14,44.0,PF,1567642508.0
7,upernavik,72.79,-56.15,41.73,89.0,13.85,87.0,GL,1567642518.0
8,hermanus,-34.42,19.24,57.0,94.0,22.88,79.0,ZA,1567642519.0
9,cape town,-33.93,18.42,57.99,67.0,21.92,0.0,ZA,1567642466.0
10,srednekolymsk,67.46,153.71,56.49,40.0,12.21,21.0,RU,1567642519.0
11,butaritari,3.07,172.79,83.67,71.0,2.89,82.0,KI,1567642509.0
12,ancud,-41.87,-73.83,44.6,48.0,5.82,0.0,CL,1567642439.0
13,avarua,-21.21,-159.78,75.2,60.0,20.8,85.0,CK,1567642272.0
14,aklavik,68.22,-135.01,57.2,93.0,3.36,75.0,CA,1567642520.0
15,dikson,73.51,80.55,43.89,99.0,17.58,100.0,RU,1567642521.0
16,rikitea,-23.12,-134.97,72.69,70.0,8.28,100.0,PF,1567642521.0
17,castro,-42.48,-73.76,44.6,48.0,5.82,0.0,CL,1567642522.0
18,bluff,-23.58,149.07,79.71,16.0,10.31,17.0,AU,1567642234.0
19,sal rei,16.18,-22.92,80.6,78.0,12.75,40.0,CV,1567642522.0
20,nizhnyaya salda,58.07,60.71,48.03,99.0,4.07,100.0,RU,1567642522.0
21,mataura,-46.19,168.86,50.0,88.0,8.99,98.0,NZ,1567642522.0
22,nioro,13.79,-15.05,79.53,79.0,15.84,100.0,GM,1567642523.0
23,busselton,-33.64,115.35,41.0,69.0,11.16,12.0,AU,1567642523.0
24,la ronge,55.1,-105.3,59.0,77.0,9.17,75.0,CA,1567642523.0
25,laguna,16.17,-88.94,89.6,66.0,6.93,40.0,BZ,1567642380.0
26,barrow,-38.31,-60.23,34.53,87.0,2.1,95.0,AR,1567642524.0
27,hobart,-42.88,147.33,53.01,57.0,9.17,40.0,AU,1567642357.0
28,lebu,8.96,38.73,59.0,93.0,4.7,75.0,ET,1567642524.0
29,airai,-8.93,125.41,80.07,43.0,1.97,61.0,TL,1567642525.0
30,broken hill,-31.97,141.45,75.2,9.0,9.17,0.0,AU,1567642525.0
31,masty,53.42,24.54,53.97,84.0,4.97,40.0,BY,1567642525.0
32,salalah,17.01,54.1,78.8,94.0,3.36,90.0,OM,1567642526.0
33,bethel,60.79,-161.76,55.4,71.0,23.04,90.0,US,1567642401.0
34,vaini,15.34,74.49,75.93,93.0,7.16,98.0,IN,1567642526.0
35,ostrovnoy,68.05,39.51,48.21,88.0,14.9,50.0,RU,1567642527.0
36,chokurdakh,70.62,147.9,47.49,51.0,8.84,46.0,RU,1567642528.0
37,port alfred,-33.59,26.89,57.0,95.0,4.0,100.0,ZA,1567642529.0
38,byron bay,-28.65,153.62,81.0,49.0,9.17,0.0,AU,1567642529.0
39,isangel,-19.55,169.27,77.0,65.0,9.17,75.0,VU,1567642529.0
40,inhambane,-23.87,35.38,61.17,83.0,5.99,0.0,MZ,1567642530.0
41,tooele,40.53,-112.3,95.0,25.0,6.93,1.0,US,1567642308.0
42,tura,64.27,100.22,40.83,88.0,13.47,80.0,RU,1567642530.0
43,kavieng,-2.57,150.8,82.95,71.0,6.35,95.0,PG,1567642531.0
44,buin,-33.73,-70.74,57.2,62.0,10.29,75.0,CL,1567642531.0
45,genthin,52.41,12.16,64.99,82.0,1.99,100.0,DE,1567642531.0
46,vila franca do campo,37.72,-25.43,71.01,73.0,12.75,20.0,PT,1567642532.0
47,georgetown,6.8,-58.16,77.0,88.0,6.93,20.0,GY,1567642359.0
48,puerto escondido,15.86,-97.07,91.4,59.0,8.05,40.0,MX,1567642533.0
49,angren,41.01,70.08,53.07,52.0,2.98,2.0,UZ,1567642533.0
50,pierre,44.37,-100.35,86.0,37.0,24.16,1.0,US,1567642268.0
51,grindavik,63.84,-22.43,50.0,100.0,12.75,90.0,IS,1567642534.0
52,saldanha,41.42,-6.55,66.75,50.0,7.11,4.0,PT,1567642535.0
53,yatou,3.63,9.81,77.0,100.0,13.33,75.0,CM,1567642536.0
54,egvekinot,66.32,-179.17,40.11,85.0,10.16,98.0,RU,1567642356.0
55,east london,-33.02,27.91,55.77,92.0,5.44,100.0,ZA,1567642537.0
56,punta arenas,-53.16,-70.91,41.0,80.0,3.36,0.0,CL,1567642537.0
57,jamestown,-33.21,138.6,59.19,64.0,8.25,5.0,AU,1567642537.0
58,strezhevoy,60.73,77.6,41.0,100.0,2.21,90.0,RU,1567642538.0
59,sivas,39.75,37.01,46.4,100.0,3.36,0.0,TR,1567642538.0
60,saskylakh,71.97,114.09,31.11,81.0,7.7,93.0,RU,1567642538.0
61,tuatapere,-46.13,167.69,50.0,88.0,8.99,97.0,NZ,1567642276.0
62,ust-barguzin,53.41,109.03,52.71,88.0,2.84,32.0,RU,1567642539.0
63,sanchazi,30.43,103.62,73.99,94.0,0.58,40.0,CN,1567642540.0
64,pevek,69.7,170.27,40.29,83.0,3.85,7.0,RU,1567642540.0
65,livingston,32.58,-88.19,93.2,55.0,5.48,1.0,US,1567642135.0
66,arraial do cabo,-22.97,-42.02,69.45,94.0,12.97,97.0,BR,1567642541.0
67,qaanaaq,77.48,-69.36,30.57,50.0,5.19,21.0,GL,1567642541.0
68,micheweni,-4.97,39.83,77.01,81.0,13.22,8.0,TZ,1567642541.0
69,katsuura,33.93,134.5,78.8,94.0,11.41,75.0,JP,1567642541.0
70,tonaya,19.79,-103.97,70.89,78.0,1.63,72.0,MX,1567642542.0
71,ninghai,29.29,121.42,82.0,100.0,2.24,75.0,CN,1567642542.0
72,provideniya,64.42,-173.23,51.8,76.0,8.95,75.0,RU,1567642542.0
73,kurilsk,45.23,147.88,60.81,82.0,13.89,0.0,RU,1567642328.0
74,ponta do sol,-20.63,-46.0,80.43,33.0,8.68,42.0,BR,1567642543.0
75,necochea,-38.55,-58.74,43.0,66.0,4.0,64.0,AR,1567642544.0
76,new norfolk,-42.78,147.06,53.01,57.0,9.17,40.0,AU,1567642544.0
77,feni,23.02,91.41,80.07,90.0,9.53,99.0,BD,1567642545.0
78,xuddur,4.12,43.89,71.97,75.0,17.52,59.0,SO,1567642545.0
79,tasiilaq,65.61,-37.64,44.6,52.0,14.99,75.0,GL,1567642545.0
80,kaeo,-35.1,173.78,64.0,100.0,10.8,95.0,NZ,1567642546.0
81,kodiak,39.95,-94.76,78.8,57.0,3.67,1.0,US,1567642546.0
82,inirida,3.87,-67.92,77.55,80.0,1.03,64.0,CO,1567642546.0
83,hithadhoo,-0.6,73.08,82.95,79.0,15.14,32.0,MV,1567642547.0
84,kilindoni,-7.91,39.67,77.55,79.0,13.22,13.0,TZ,1567642547.0
85,clyde river,70.47,-68.59,41.0,80.0,6.93,90.0,CA,1567642547.0
86,yulara,-25.24,130.99,64.4,31.0,10.29,0.0,AU,1567642547.0
